date,open,high,low,close,volume
25.11.2024 08:30:00.000,1.04536,1.04597,1.04510,1.04538,4067.36
25.11.2024 08:45:00.000,1.04537,1.04673,1.04512,1.04658,4124.860000000001
25.11.2024 09:00:00.000,1.04656,1.04873,1.04630,1.04819,8290.189999999999
25.11.2024 09:15:00.000,1.04818,1.04822,1.04716,1.04746,4666.889999999999
25.11.2024 09:30:00.000,1.04746,1.04825,1.04742,1.04794,4696.919999999999
25.11.2024 09:45:00.000,1.04794,1.04974,1.04794,1.04897,7621.83
25.11.2024 10:00:00.000,1.04895,1.04935,1.04868,1.04876,5210.930000000001
25.11.2024 10:15:00.000,1.04875,1.04945,1.04858,1.04909,4400.459999999999
25.11.2024 10:30:00.000,1.04910,1.04971,1.04861,1.04882,3273.04
25.11.2024 10:45:00.000,1.04880,1.04910,1.04836,1.04862,3753.3099999999995
25.11.2024 11:00:00.000,1.04862,1.04892,1.04840,1.04847,3566.7199999999993
25.11.2024 11:15:00.000,1.04846,1.04906,1.04805,1.04832,2239.0299999999997
25.11.2024 11:30:00.000,1.04834,1.04848,1.04763,1.04772,3165.28
25.11.2024 11:45:00.000,1.04772,1.04806,1.04753,1.04796,4008.9100000000003
25.11.2024 12:00:00.000,1.04796,1.04840,1.04769,1.04804,3778.5100000000007
25.11.2024 12:15:00.000,1.04805,1.04805,1.04742,1.04761,2332.4699999999993
25.11.2024 12:30:00.000,1.04760,1.04861,1.04754,1.04830,2926.8899999999994
25.11.2024 12:45:00.000,1.04829,1.04935,1.04829,1.04888,2709.0699999999997
25.11.2024 13:00:00.000,1.04889,1.05021,1.04888,1.05003,7623.59
25.11.2024 13:15:00.000,1.05003,1.05257,1.04976,1.05211,7248.219999999999
25.11.2024 13:30:00.000,1.05211,1.05280,1.05163,1.05198,6150.670000000001
25.11.2024 13:45:00.000,1.05198,1.05304,1.05146,1.05287,7296.490000000001
25.11.2024 14:00:00.000,1.05287,1.05305,1.05213,1.05271,7141.48
25.11.2024 14:15:00.000,1.05271,1.05283,1.05157,1.05255,6733.360000000001
25.11.2024 14:30:00.000,1.05255,1.05283,1.05049,1.05055,6892.48
25.11.2024 14:45:00.000,1.05056,1.05120,1.05056,1.05081,7500.370000000001
25.11.2024 15:00:00.000,1.05082,1.05089,1.04865,1.04969,5984.1100000000015
25.11.2024 15:15:00.000,1.04970,1.05150,1.04968,1.05138,5406.36
25.11.2024 15:30:00.000,1.05137,1.05193,1.05092,1.05125,4180.8
25.11.2024 15:45:00.000,1.05124,1.05150,1.04864,1.04886,10547.6801
25.11.2024 16:00:00.000,1.04885,1.04948,1.04867,1.04904,6094.509999999999
25.11.2024 16:15:00.000,1.04903,1.04927,1.04812,1.04850,3325.980000000001
25.11.2024 16:30:00.000,1.04850,1.04886,1.04746,1.04748,4036.4200000000005
25.11.2024 16:45:00.000,1.04747,1.04790,1.04668,1.04778,6854.1
25.11.2024 17:00:00.000,1.04778,1.04794,1.04723,1.04726,3648.2100000000005
25.11.2024 17:15:00.000,1.04726,1.04777,1.04692,1.04751,3989.75
25.11.2024 17:30:00.000,1.04752,1.04857,1.04752,1.04836,2766.5299999999997
25.11.2024 17:45:00.000,1.04837,1.04873,1.04828,1.04862,2307.26
25.11.2024 18:00:00.000,1.04862,1.04982,1.04859,1.04922,4335.79
25.11.2024 18:15:00.000,1.04921,1.04973,1.04908,1.04968,2755.47
25.11.2024 18:30:00.000,1.04969,1.05050,1.04969,1.04989,2015.9500000000003
25.11.2024 18:45:00.000,1.04986,1.05081,1.04975,1.05077,2083.29
25.11.2024 19:00:00.000,1.05077,1.05108,1.05069,1.05087,1614.5400000000002
25.11.2024 19:15:00.000,1.05088,1.05103,1.05058,1.05095,1314.27
25.11.2024 19:30:00.000,1.05095,1.05100,1.05058,1.05060,1332.8399999999997
25.11.2024 19:45:00.000,1.05059,1.05060,1.05016,1.05057,2293.6899999999996
25.11.2024 20:00:00.000,1.05053,1.05092,1.05050,1.05087,2541.7700000000004
25.11.2024 20:15:00.000,1.05088,1.05095,1.05012,1.05033,1968.39
25.11.2024 20:30:00.000,1.05032,1.05039,1.05002,1.05009,4374.610000000001
25.11.2024 20:45:00.000,1.05007,1.05029,1.04921,1.04925,2472.8199999999997
25.11.2024 21:00:00.000,1.04924,1.04974,1.04922,1.04947,1548.65
25.11.2024 21:15:00.000,1.04947,1.04970,1.04938,1.04940,1712.69
25.11.2024 21:30:00.000,1.04938,1.04950,1.04929,1.04936,1351.62
25.11.2024 21:45:00.000,1.04935,1.04968,1.04922,1.04959,1630.6299999999999
25.11.2024 22:00:00.000,1.04957,1.04979,1.04954,1.04965,343.55000000000007
25.11.2024 22:15:00.000,1.04966,1.04978,1.04966,1.04969,403.91999999999996
25.11.2024 22:30:00.000,1.04968,1.04974,1.04957,1.04960,592.2499999999999
25.11.2024 22:45:00.000,1.04966,1.04975,1.04955,1.04960,256.52000000000004
25.11.2024 23:00:00.000,1.04960,1.05012,1.04960,1.04991,719.8600000000001
25.11.2024 23:15:00.000,1.04992,1.04992,1.04957,1.04975,885.1400000000002
25.11.2024 23:30:00.000,1.04975,1.04978,1.04656,1.04683,3379.5700000000006
25.11.2024 23:45:00.000,1.04684,1.04698,1.04429,1.04439,4692.32
26.11.2024 00:00:00.000,1.04440,1.04567,1.04328,1.04330,8275.980000000001
26.11.2024 00:15:00.000,1.04331,1.04552,1.04252,1.04536,10489.83
26.11.2024 00:30:00.000,1.04535,1.04573,1.04431,1.04452,7007.92
26.11.2024 00:45:00.000,1.04452,1.04501,1.04335,1.04352,10638.24
26.11.2024 01:00:00.000,1.04349,1.04488,1.04307,1.04468,9458.33
26.11.2024 01:15:00.000,1.04469,1.04573,1.04440,1.04560,7962.870000000001
26.11.2024 01:30:00.000,1.04560,1.04648,1.04534,1.04541,5593.509999999999
26.11.2024 01:45:00.000,1.04541,1.04618,1.04512,1.04543,2576.46
26.11.2024 02:00:00.000,1.04544,1.04604,1.04515,1.04594,3761.5200000000004
